NAME,LINK,DOCKET,TYPE,LOCATION,OWNER,REGION
Arkansas Nuclear 1,/info-finder/reactors/ano1.html,05000313,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc.",4
Arkansas Nuclear 2,/info-finder/reactors/ano2.html,05000368,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc.",4
Beaver Valley 1,/info-finder/reactors/bv1.html,05000334,PWR,"17 miles W of McCandless,  PA",FirstEnergy Nuclear Operating Co.,1
Beaver Valley 2,/info-finder/reactors/bv2.html,05000412,PWR,"17 miles W of McCandless,  PA",FirstEnergy Nuclear Operating Co.,1
Braidwood 1,/info-finder/reactors/brai1.html,05000456,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC",3
Braidwood 2,/info-finder/reactors/brai2.html,05000457,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC",3
Browns Ferry 1,/info-finder/reactors/bf1.html,05000259,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority,2
Browns Ferry 2,/info-finder/reactors/bf2.html,05000260,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority,2
Browns Ferry 3,/info-finder/reactors/bf3.html,05000296,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority,2
Brunswick 1,/info-finder/reactors/bru1.html,05000325,BWR,"40 miles S of Wilmington,  NC",Progress Energy,2
Brunswick 2,/info-finder/reactors/bru2.html,05000324,BWR,"40 miles S of Wilmington,  NC",Progress Energy,2
Byron 1,/info-finder/reactors/byro1.html,05000454,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC",3
Byron 2,/info-finder/reactors/byro2.html,05000455,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC",3
Callaway,/info-finder/reactors/call.html,05000483,PWR,"25 miles ENE of Jefferson  City, MO",Ameren UE,4
Calvert Cliffs 1,/info-finder/reactors/calv1.html,05000317,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
Calvert Cliffs 2,/info-finder/reactors/calv2.html,05000318,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
Catawba 1,/info-finder/reactors/cat1.html,05000413,PWR,"18 miles S of Charlotte, NC","Duke Energy Power Company, LLC",2
Catawba 2,/info-finder/reactors/cat2.html,05000414,PWR,"18 miles S of Charlotte, NC","Duke Energy Power Company, LLC",2
Clinton,/info-finder/reactors/clin.html,05000461,BWR,"23 miles SSE of  Bloomington, IL","Exelon Generation Co., LLC",3
Columbia Generating Station,/info-finder/reactors/wash2.html,05000397,BWR,"20 miles NNE of Pasco, WA",Energy Northwest,4
Comanche Peak 1,/info-finder/reactors/cp1.html,05000445,PWR,"40 miles SW of Fort Worth,  TX",TXU Generating Company LP,4
Comanche Peak 2,/info-finder/reactors/cp2.html,05000446,PWR,"40 miles SW of Fort Worth,  TX",TXU Generating Company LP,4
Cooper,/info-finder/reactors/cns.html,05000298,BWR,"23 miles S of Nebraska City,  NE",Nebraska Public Power District,4
D.C. Cook 1,/info-finder/reactors/cook1.html,05000315,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co.,3
D.C. Cook 2 ,/info-finder/reactors/cook2.html,05000316,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co.,3
Davis-Besse,/info-finder/reactors/davi.html,05000346,PWR,"21 miles ESE of Toledo,  OH",FirstEnergy Nuclear Operating Co.,3
Diablo Canyon 1,/info-finder/reactors/diab1.html,05000275,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co.,4
Diablo Canyon 2,/info-finder/reactors/diab2.html,05000323,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co.,4
Dresden 2,/info-finder/reactors/dres2.html,05000237,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC",3
Dresden 3,/info-finder/reactors/dres3.html,05000249,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC",3
